1s+PRES+kuacha	I leave	ninaacha
NEG+1s+PERF+kutuma	I have not sent	sijatuma
1p+PRES+kutuma	we send	tunatuma
1p+PAST+kutuma	we sent	tulituma
1p+FUT+kutuma	we will send	tutatuma
1p+PERF+kutuma	we have sent	tumetuma
NEG+1p+PRES+kutuma	we do not send	hatutumi
NEG+1p+PAST+kutuma	we did not send	hatukutuma
NEG+1p+FUT+kutuma	we will not send	hatutatuma
NEG+1p+PERF+kutuma	we have not sent	hatujatuma
2s+PRES+kutuma	you send	unatuma
2s+PAST+kutuma	you sent	ulituma
2s+FUT+kutuma	you will send	utatuma
2s+PERF+kutuma	you have sent	umetuma
NEG+2s+PRES+kutuma	you do not send	hutumi
NEG+2s+PAST+kutuma	you did not send	hukutuma
NEG+2s+FUT+kutuma	you will not send	hutatuma
NEG+2s+PERF+kutuma	you have not sent	hujatuma
2p+PRES+kutuma	you send	mnatuma
2p+PAST+kutuma	you sent	mlituma
2p+FUT+kutuma	you will send	mtatuma
2p+PERF+kutuma	you have sent	mmetuma
NEG+2p+PRES+kutuma	you do not send	hamtumi
NEG+2p+PAST+kutuma	you did not send	hamkutuma
NEG+2p+FUT+kutuma	you will not send	hamtatuma
NEG+2p+PERF+kutuma	you have not sent	hamjatuma
3s+PRES+kutuma	(s)he sends	anatuma
3s+PAST+kutuma	(s)he sent	alituma
3s+FUT+kutuma	(s)he will send	atatuma
3s+PERF+kutuma	(s)he has sent	ametuma
NEG+3s+PRES+kutuma	(s)he does not send	hatumi
NEG+3s+PAST+kutuma	(s)he did not send	hakutuma
NEG+3s+FUT+kutuma	(s)he will not send	hatatuma
NEG+3s+PERF+kutuma	(s)he has not sent	hajatuma
3p+PRES+kutuma	they send	wanatuma
3p+PAST+kutuma	they sent	walituma
3p+FUT+kutuma	they will send	watatuma
3p+PERF+kutuma	they have sent	wametuma
NEG+3p+PRES+kutuma	they do not send	hawatumi
NEG+3p+PAST+kutuma	they did not send	hawakutuma
NEG+3p+FUT+kutuma	they will not send	hawatatuma
NEG+3p+PERF+kutuma	they have not sent	hawajatuma
2s+IMP+kutuma	send	tuma
2p+IMP+kutuma	send	tumeni
1s+PRES+kutumaini	I hope	ninatumaini
1s+PAST+kutumaini	I hoped	nilitumaini
1s+FUT+kutumaini	I will hope	nitatumaini
1s+PERF+kutumaini	I have hoped	nimetumaini
NEG+1s+PRES+kutumaini	I do not hope	situmaini
NEG+1s+PAST+kutumaini	I did not hope	sikutumaini
NEG+1s+FUT+kutumaini	I will not hope	sitatumaini
NEG+1s+PERF+kutumaini	I have not hoped	sijatumaini
1p+PRES+kutumaini	we hope	tunatumaini
1p+PAST+kutumaini	we hoped	tulitumaini
1p+FUT+kutumaini	we will hope	tutatumaini
1p+PERF+kutumaini	we have hoped	tumetumaini
NEG+1p+PRES+kutumaini	we do not hope	hatutumaini
NEG+1p+PAST+kutumaini	we did not hope	hatukutumaini
NEG+1p+FUT+kutumaini	we will not hope	hatutatumaini
NEG+1p+PERF+kutumaini	we have not hoped	hatujatumaini
2s+PRES+kutumaini	you hope	unatumaini
2s+PAST+kutumaini	you hoped	ulitumaini
2s+FUT+kutumaini	you will hope	utatumaini
2s+PERF+kutumaini	you have hoped	umetumaini
NEG+2s+PRES+kutumaini	you do not hope	hutumaini
NEG+2s+PAST+kutumaini	you did not hope	hukutumaini
NEG+2s+FUT+kutumaini	you will not hope	hutatumaini
NEG+2s+PERF+kutumaini	you have not hoped	hujatumaini
2p+PRES+kutumaini	you hope	mnatumaini
2p+PAST+kutumaini	you hoped	mlitumaini
2p+FUT+kutumaini	you will hope	mtatumaini
2p+PERF+kutumaini	you have hoped	mmetumaini
NEG+2p+PRES+kutumaini	you do not hope	hamtumaini
NEG+2p+PAST+kutumaini	you did not hope	hamkutumaini
NEG+2p+FUT+kutumaini	you will not hope	hamtatumaini
NEG+2p+PERF+kutumaini	you have not hoped	hamjatumaini
3s+PRES+kutumaini	(s)he hopes	anatumaini
3s+PAST+kutumaini	(s)he hoped	alitumaini
3s+FUT+kutumaini	(s)he will hope	atatumaini
3s+PERF+kutumaini	(s)he has hoped	ametumaini
NEG+3s+PRES+kutumaini	(s)he does not hope	hatumaini
NEG+3s+PAST+kutumaini	(s)he did not hope	hakutumaini
NEG+3s+FUT+kutumaini	(s)he will not hope	hatatumaini
NEG+3s+PERF+kutumaini	(s)he has not hoped	hajatumaini
3p+PRES+kutumaini	they hope	wanatumaini
3p+PAST+kutumaini	they hoped	walitumaini
3p+FUT+kutumaini	they will hope	watatumaini
3p+PERF+kutumaini	they have hoped	wametumaini
NEG+3p+PRES+kutumaini	they do not hope	hawatumaini
NEG+3p+PAST+kutumaini	they did not hope	hawakutumaini
NEG+3p+FUT+kutumaini	they will not hope	hawatatumaini
NEG+3p+PERF+kutumaini	they have not hoped	hawajatumaini
2s+IMP+kutumaini	hope	tumaini
2p+IMP+kutumaini	hope	tumainini
1s+PRES+kutumia	I use	ninatumia
1s+PAST+kutumia	I used	nilitumia
1s+FUT+kutumia	I will use	nitatumia
1s+PERF+kutumia	I have used	nimetumia
NEG+1s+PRES+kutumia	I do not use	situmii
NEG+1s+PAST+kutumia	I did not use	sikutumia
NEG+1s+FUT+kutumia	I will not use	sitatumia
NEG+1s+PERF+kutumia	I have not used	sijatumia
1p+PRES+kutumia	we use	tunatumia
1p+PAST+kutumia	we used	tulitumia
1p+FUT+kutumia	we will use	tutatumia
1p+PERF+kutumia	we have used	tumetumia
NEG+1p+PRES+kutumia	we do not use	hatutumii
NEG+1p+PAST+kutumia	we did not use	hatukutumia
NEG+1p+FUT+kutumia	we will not use	hatutatumia
NEG+1p+PERF+kutumia	we have not used	hatujatumia
2s+PRES+kutumia	you use	unatumia
2s+PAST+kutumia	you used	ulitumia
2s+FUT+kutumia	you will use	utatumia
2s+PERF+kutumia	you have used	umetumia
NEG+2s+PRES+kutumia	you do not use	hutumii
NEG+2s+PAST+kutumia	you did not use	hukutumia
NEG+2s+FUT+kutumia	you will not use	hutatumia
NEG+2s+PERF+kutumia	you have not used	hujatumia
2p+PRES+kutumia	you use	mnatumia
2p+PAST+kutumia	you used	mlitumia
2p+FUT+kutumia	you will use	mtatumia
2p+PERF+kutumia	you have used	mmetumia
NEG+2p+PRES+kutumia	you do not use	hamtumii
NEG+2p+PAST+kutumia	you did not use	hamkutumia
NEG+2p+FUT+kutumia	you will not use	hamtatumia
NEG+2p+PERF+kutumia	you have not used	hamjatumia
3s+PRES+kutumia	(s)he uses	anatumia
3s+PAST+kutumia	(s)he used	alitumia
3s+FUT+kutumia	(s)he will use	atatumia
3s+PERF+kutumia	(s)he has used	ametumia
NEG+3s+PRES+kutumia	(s)he does not use	hatumii
NEG+3s+PAST+kutumia	(s)he did not use	hakutumia
NEG+3s+FUT+kutumia	(s)he will not use	hatatumia
NEG+3s+PERF+kutumia	(s)he has not used	hajatumia
3p+PRES+kutumia	they use	wanatumia
3p+PAST+kutumia	they used	walitumia
3p+FUT+kutumia	they will use	watatumia
3p+PERF+kutumia	they have used	wametumia
NEG+3p+PRES+kutumia	they do not use	hawatumii
NEG+3p+PAST+kutumia	they did not use	hawakutumia
NEG+3p+FUT+kutumia	they will not use	hawatatumia
NEG+3p+PERF+kutumia	they have not used	hawajatumia
2s+IMP+kutumia	use	tumia
2p+IMP+kutumia	use	tumieni
1s+PRES+kuua	I kill	ninaua
1s+PAST+kuua	I killed	niliua
1s+FUT+kuua	I will kill	nitaua
1s+PERF+kuua	I have killed	nimeua
NEG+1s+PRES+kuua	I do not kill	siui
NEG+1s+PAST+kuua	I did not kill	sikuua
NEG+1s+FUT+kuua	I will not kill	sitaua
NEG+1s+PERF+kuua	I have not killed	sijaua
1p+PRES+kuua	we kill	tunaua
1p+PAST+kuua	we killed	tuliua
1p+FUT+kuua	we will kill	tutaua
1p+PERF+kuua	we have killed	tumeua
NEG+1p+PRES+kuua	we do not kill	hatuui
NEG+1p+PAST+kuua	we did not kill	hatukuua
NEG+1p+FUT+kuua	we will not kill	hatutaua
NEG+1p+PERF+kuua	we have not killed	hatujaua
2s+PRES+kuua	you kill	unaua
2s+PAST+kuua	you killed	uliua
2s+FUT+kuua	you will kill	utaua
2s+PERF+kuua	you have killed	umeua
NEG+2s+PRES+kuua	you do not kill	huui
NEG+2s+PAST+kuua	you did not kill	hukuua
NEG+2s+FUT+kuua	you will not kill	hutaua
NEG+2s+PERF+kuua	you have not killed	hujaua
2p+PRES+kuua	you kill	mnaua
2p+PAST+kuua	you killed	mliua
2p+FUT+kuua	you will kill	mtaua
2p+PERF+kuua	you have killed	mmeua
NEG+2p+PRES+kuua	you do not kill	hamui
NEG+2p+PAST+kuua	you did not kill	hamkuua
NEG+2p+FUT+kuua	you will not kill	hamtaua
NEG+2p+PERF+kuua	you have not killed	hamjaua
3s+PRES+kuua	(s)he kills	anaua
3s+PAST+kuua	(s)he killed	aliua
3s+FUT+kuua	(s)he will kill	ataua
3s+PERF+kuua	(s)he has killed	ameua
NEG+3s+PRES+kuua	(s)he does not kill	haui
NEG+3s+PAST+kuua	(s)he did not kill	hakuua
NEG+3s+FUT+kuua	(s)he will not kill	hataua
NEG+3s+PERF+kuua	(s)he has not killed	hajaua
3p+PRES+kuua	they kill	wanaua
3p+PAST+kuua	they killed	waliua
3p+FUT+kuua	they will kill	wataua
3p+PERF+kuua	they have killed	wameua
NEG+3p+PRES+kuua	they do not kill	hawaui
NEG+3p+PAST+kuua	they did not kill	hawakuua
NEG+3p+FUT+kuua	they will not kill	hawataua
NEG+3p+PERF+kuua	they have not killed	hawajaua
2s+IMP+kuua	kill	ua
2p+IMP+kuua	kill	ueni
1s+PRES+kuuliza	I ask	ninauliza
1s+PAST+kuuliza	I asked	niliuliza
1s+FUT+kuuliza	I will ask	nitauliza
1s+PERF+kuuliza	I have asked	nimeuliza
NEG+1s+PRES+kuuliza	I do not ask	siulizi
NEG+1s+PAST+kuuliza	I did not ask	sikuuliza
NEG+1s+FUT+kuuliza	I will not ask	sitauliza
NEG+1s+PERF+kuuliza	I have not asked	sijauliza
1p+PRES+kuuliza	we ask	tunauliza
1p+PAST+kuuliza	we asked	tuliuliza
1p+FUT+kuuliza	we will ask	tutauliza
1p+PERF+kuuliza	we have asked	tumeuliza
NEG+1p+PRES+kuuliza	we do not ask	hatuulizi
NEG+1p+PAST+kuuliza	we did not ask	hatukuuliza
NEG+1p+FUT+kuuliza	we will not ask	hatutauliza
NEG+1p+PERF+kuuliza	we have not asked	hatujauliza
2s+PRES+kuuliza	you ask	unauliza
2s+PAST+kuuliza	you asked	uliuliza
2s+FUT+kuuliza	you will ask	utauliza
2s+PERF+kuuliza	you have asked	umeuliza
NEG+2s+PRES+kuuliza	you do not ask	huulizi
NEG+2s+PAST+kuuliza	you did not ask	hukuuliza
NEG+2s+FUT+kuuliza	you will not ask	hutauliza
NEG+2s+PERF+kuuliza	you have not asked	hujauliza
2p+PRES+kuuliza	you ask	mnauliza
2p+PAST+kuuliza	you asked	mliuliza
2p+FUT+kuuliza	you will ask	mtauliza
2p+PERF+kuuliza	you have asked	mmeuliza
NEG+2p+PRES+kuuliza	you do not ask	hamulizi
NEG+2p+PAST+kuuliza	you did not ask	hamkuuliza
NEG+2p+FUT+kuuliza	you will not ask	hamtauliza
NEG+2p+PERF+kuuliza	you have not asked	hamjauliza
3s+PRES+kuuliza	(s)he asks	anauliza
3s+PAST+kuuliza	(s)he asked	aliuliza
3s+FUT+kuuliza	(s)he will ask	atauliza
3s+PERF+kuuliza	(s)he has asked	ameuliza
NEG+3s+PRES+kuuliza	(s)he does not ask	haulizi
NEG+3s+PAST+kuuliza	(s)he did not ask	hakuuliza
NEG+3s+FUT+kuuliza	(s)he will not ask	hatauliza
NEG+3s+PERF+kuuliza	(s)he has not asked	hajauliza
3p+PRES+kuuliza	they ask	wanauliza
3p+PAST+kuuliza	they asked	waliuliza
3p+FUT+kuuliza	they will ask	watauliza
3p+PERF+kuuliza	they have asked	wameuliza
NEG+3p+PRES+kuuliza	they do not ask	hawaulizi
NEG+3p+PAST+kuuliza	they did not ask	hawakuuliza
NEG+3p+FUT+kuuliza	they will not ask	hawatauliza
NEG+3p+PERF+kuuliza	they have not asked	hawajauliza
2s+IMP+kuuliza	ask	uliza
2p+IMP+kuuliza	ask	ulizeni
1s+PRES+kuuma	I bite	ninauma
1s+PAST+kuuma	I bit	niliuma
1s+FUT+kuuma	I will bite	nitauma
1s+PERF+kuuma	I have bitten	nimeuma
NEG+1s+PRES+kuuma	I do not bite	siumi
NEG+1s+PAST+kuuma	I did not bite	sikuuma
NEG+1s+FUT+kuuma	I will not bite	sitauma
NEG+1s+PERF+kuuma	I have not bitten	sijauma
1p+PRES+kuuma	we bite	tunauma
1p+PAST+kuuma	we bit	tuliuma
1p+FUT+kuuma	we will bite	tutauma
1p+PERF+kuuma	we have bitten	tumeuma
NEG+1p+PRES+kuuma	we do not bite	hatuumi
NEG+1p+PAST+kuuma	we did not bite	hatukuuma
NEG+1p+FUT+kuuma	we will not bite	hatutauma
NEG+1p+PERF+kuuma	we have not bitten	hatujauma
2s+PRES+kuuma	you bite	unauma
2s+PAST+kuuma	you bit	uliuma
2s+FUT+kuuma	you will bite	utauma
2s+PERF+kuuma	you have bitten	umeuma
NEG+2s+PRES+kuuma	you do not bite	huumi
NEG+2s+PAST+kuuma	you did not bite	hukuuma
NEG+2s+FUT+kuuma	you will not bite	hutauma
NEG+2s+PERF+kuuma	you have not bitten	hujauma
2p+PRES+kuuma	you bite	mnauma
2p+PAST+kuuma	you bit	mliuma
2p+FUT+kuuma	you will bite	mtauma
2p+PERF+kuuma	you have bitten	mmeuma
NEG+2p+PRES+kuuma	you do not bite	hamumi
NEG+2p+PAST+kuuma	you did not bite	hamkuuma
NEG+2p+FUT+kuuma	you will not bite	hamtauma
NEG+2p+PERF+kuuma	you have not bitten	hamjauma
3s+PRES+kuuma	(s)he bites	anauma
3s+PAST+kuuma	(s)he bit	aliuma
3s+FUT+kuuma	(s)he will bite	atauma
3s+PERF+kuuma	(s)he has bitten	ameuma
NEG+3s+PRES+kuuma	(s)he does not bite	haumi
NEG+3s+PAST+kuuma	(s)he did not bite	hakuuma
NEG+3s+FUT+kuuma	(s)he will not bite	hatauma
NEG+3s+PERF+kuuma	(s)he has not bitten	hajauma
3p+PRES+kuuma	they bite	wanauma
3p+PAST+kuuma	they bit	waliuma
3p+FUT+kuuma	they will bite	watauma
3p+PERF+kuuma	they have bitten	wameuma
NEG+3p+PRES+kuuma	they do not bite	hawaumi
NEG+3p+PAST+kuuma	they did not bite	hawakuuma
NEG+3p+FUT+kuuma	they will not bite	hawatauma
NEG+3p+PERF+kuuma	they have not bitten	hawajauma
2s+IMP+kuuma	bite	uma
2p+IMP+kuuma	bite	umeni
1s+PRES+kuumwa	I am sick	ninaumwa
1s+PAST+kuumwa	I was sick	niliumwa
1s+FUT+kuumwa	I will be sick	nitaumwa
1s+PERF+kuumwa	I have been sick	nimeumwa
NEG+1s+PRES+kuumwa	I am not sick	siumwi
NEG+1s+PAST+kuumwa	I was not sick	sikuumwa
NEG+1s+FUT+kuumwa	I will not be sick	sitaumwa
NEG+1s+PERF+kuumwa	I have not been sick	sijaumwa
1p+PRES+kuumwa	we are sick	tunaumwa
1p+PAST+kuumwa	we were sick	tuliumwa
1p+FUT+kuumwa	we will be sick	tutaumwa
1p+PERF+kuumwa	we have been sick	tumeumwa
NEG+1p+PRES+kuumwa	we are not sick	hatuumwi
NEG+1p+PAST+kuumwa	we were not sick	hatukuumwa
NEG+1p+FUT+kuumwa	we will not be sick	hatutaumwa
NEG+1p+PERF+kuumwa	we have not been sick	hatujaumwa
2s+PRES+kuumwa	you are sick	unaumwa
2s+PAST+kuumwa	you were sick	uliumwa
2s+FUT+kuumwa	you will be sick	utaumwa
2s+PERF+kuumwa	you have been sick	umeumwa
NEG+2s+PRES+kuumwa	you are not sick	huumwi
NEG+2s+PAST+kuumwa	you were not sick	hukuumwa
NEG+2s+FUT+kuumwa	you will not be sick	hutaumwa
NEG+2s+PERF+kuumwa	you have not been sick	hujaumwa
2p+PRES+kuumwa	you are sick	mnaumwa
2p+PAST+kuumwa	you were sick	mliumwa
2p+FUT+kuumwa	you will be sick	mtaumwa
2p+PERF+kuumwa	you have been sick	mmeumwa
NEG+2p+PRES+kuumwa	you are not sick	hamumwi
NEG+2p+PAST+kuumwa	you were not sick	hamkuumwa
NEG+2p+FUT+kuumwa	you will not be sick	hamtaumwa
NEG+2p+PERF+kuumwa	you have not been sick	hamjaumwa
3s+PRES+kuumwa	(s)he is sick	anaumwa
3s+PAST+kuumwa	(s)he was sick	aliumwa
3s+FUT+kuumwa	(s)he will be sick	ataumwa
3s+PERF+kuumwa	(s)he has been sick	ameumwa
NEG+3s+PRES+kuumwa	(s)he is not sick	haumwi
NEG+3s+PAST+kuumwa	(s)he was not sick	hakuumwa
NEG+3s+FUT+kuumwa	(s)he will not be sick	hataumwa
NEG+3s+PERF+kuumwa	(s)he has not been sick	hajaumwa
3p+PRES+kuumwa	they are sick	wanaumwa
3p+PAST+kuumwa	they were sick	waliumwa
3p+FUT+kuumwa	they will be sick	wataumwa
3p+PERF+kuumwa	they have been sick	wameumwa
NEG+3p+PRES+kuumwa	they are not sick	hawaumwi
NEG+3p+PAST+kuumwa	they were not sick	hawakuumwa
NEG+3p+FUT+kuumwa	they will not be sick	hawataumwa
NEG+3p+PERF+kuumwa	they have not been sick	hawajaumwa
2s+IMP+kuumwa	be sick	umwa
2p+IMP+kuumwa	be sick	umweni
1s+PRES+kuuza	I sell	ninauza
1s+PAST+kuuza	I sold	niliuza
1s+FUT+kuuza	I will sell	nitauza
1s+PERF+kuuza	I have sold	nimeuza
NEG+1s+PRES+kuuza	I do not sell	siuzi
NEG+1s+PAST+kuuza	I did not sell	sikuuza
NEG+1s+FUT+kuuza	I will not sell	sitauza
NEG+1s+PERF+kuuza	I have not sold	sijauza
1p+PRES+kuuza	we sell	tunauza
1p+PAST+kuuza	we sold	tuliuza
1p+FUT+kuuza	we will sell	tutauza
1p+PERF+kuuza	we have sold	tumeuza
NEG+1p+PRES+kuuza	we do not sell	hatuuzi
NEG+1p+PAST+kuuza	we did not sell	hatukuuza
NEG+1p+FUT+kuuza	we will not sell	hatutauza
NEG+1p+PERF+kuuza	we have not sold	hatujauza
2s+PRES+kuuza	you sell	unauza
2s+PAST+kuuza	you sold	uliuza
2s+FUT+kuuza	you will sell	utauza
2s+PERF+kuuza	you have sold	umeuza
NEG+2s+PRES+kuuza	you do not sell	huuzi
NEG+2s+PAST+kuuza	you did not sell	hukuuza
NEG+2s+FUT+kuuza	you will not sell	hutauza
NEG+2s+PERF+kuuza	you have not sold	hujauza
2p+PRES+kuuza	you sell	mnauza
2p+PAST+kuuza	you sold	mliuza
2p+FUT+kuuza	you will sell	mtauza
2p+PERF+kuuza	you have sold	mmeuza
NEG+2p+PRES+kuuza	you do not sell	hamuzi
NEG+2p+PAST+kuuza	you did not sell	hamkuuza
NEG+2p+FUT+kuuza	you will not sell	hamtauza
NEG+2p+PERF+kuuza	you have not sold	hamjauza
3s+PRES+kuuza	(s)he sells	anauza
3s+PAST+kuuza	(s)he sold	aliuza
3s+FUT+kuuza	(s)he will sell	atauza
3s+PERF+kuuza	(s)he has sold	ameuza
NEG+3s+PRES+kuuza	(s)he does not sell	hauzi
NEG+3s+PAST+kuuza	(s)he did not sell	hakuuza
NEG+3s+FUT+kuuza	(s)he will not sell	hatauza
NEG+3s+PERF+kuuza	(s)he has not sold	hajauza
3p+PRES+kuuza	they sell	wanauza
3p+PAST+kuuza	they sold	waliuza
3p+FUT+kuuza	they will sell	watauza
3p+PERF+kuuza	they have sold	wameuza
NEG+3p+PRES+kuuza	they do not sell	hawauzi
NEG+3p+PAST+kuuza	they did not sell	hawakuuza
NEG+3p+FUT+kuuza	they will not sell	hawatauza
NEG+3p+PERF+kuuza	they have not sold	hawajauza
2s+IMP+kuuza	sell	uza
2p+IMP+kuuza	sell	uzeni
1s+PRES+kuvaa	I wear	ninavaa
1s+PAST+kuvaa	I wore	nilivaa
1s+FUT+kuvaa	I will wear	nitavaa
1s+PERF+kuvaa	I have worn	nimevaa
NEG+1s+PRES+kuvaa	I do not wear	sivai
NEG+1s+PAST+kuvaa	I did not wear	sikuvaa
NEG+1s+FUT+kuvaa	I will not wear	sitavaa
NEG+1s+PERF+kuvaa	I have not worn	sijavaa
1p+PRES+kuvaa	we wear	tunavaa
1p+PAST+kuvaa	we wore	tulivaa
1p+FUT+kuvaa	we will wear	tutavaa
1p+PERF+kuvaa	we have worn	tumevaa
NEG+1p+PRES+kuvaa	we do not wear	hatuvai
NEG+1p+PAST+kuvaa	we did not wear	hatukuvaa
NEG+1p+FUT+kuvaa	we will not wear	hatutavaa
NEG+1p+PERF+kuvaa	we have not worn	hatujavaa
2s+PRES+kuvaa	you wear	unavaa
2s+PAST+kuvaa	you wore	ulivaa
2s+FUT+kuvaa	you will wear	utavaa
2s+PERF+kuvaa	you have worn	umevaa
NEG+2s+PRES+kuvaa	you do not wear	huvai
NEG+2s+PAST+kuvaa	you did not wear	hukuvaa
NEG+2s+FUT+kuvaa	you will not wear	hutavaa
NEG+2s+PERF+kuvaa	you have not worn	hujavaa
2p+PRES+kuvaa	you wear	mnavaa
2p+PAST+kuvaa	you wore	mlivaa
2p+FUT+kuvaa	you will wear	mtavaa
2p+PERF+kuvaa	you have worn	mmevaa
NEG+2p+PRES+kuvaa	you do not wear	hamvai
NEG+2p+PAST+kuvaa	you did not wear	hamkuvaa
NEG+2p+FUT+kuvaa	you will not wear	hamtavaa
NEG+2p+PERF+kuvaa	you have not worn	hamjavaa
3s+PRES+kuvaa	(s)he wears	anavaa
3s+PAST+kuvaa	(s)he wore	alivaa
3s+FUT+kuvaa	(s)he will wear	atavaa
3s+PERF+kuvaa	(s)he has worn	amevaa
NEG+3s+PRES+kuvaa	(s)he does not wear	havai
NEG+3s+PAST+kuvaa	(s)he did not wear	hakuvaa
NEG+3s+FUT+kuvaa	(s)he will not wear	hatavaa
NEG+3s+PERF+kuvaa	(s)he has not worn	hajavaa
3p+PRES+kuvaa	they wear	wanavaa
3p+PAST+kuvaa	they wore	walivaa
3p+FUT+kuvaa	they will wear	watavaa
3p+PERF+kuvaa	they have worn	wamevaa
NEG+3p+PRES+kuvaa	they do not wear	hawavai
NEG+3p+PAST+kuvaa	they did not wear	hawakuvaa
NEG+3p+FUT+kuvaa	they will not wear	hawatavaa
NEG+3p+PERF+kuvaa	they have not worn	hawajavaa
2s+IMP+kuvaa	wear	vaa
2p+IMP+kuvaa	wear	vaeni
1s+PRES+kuvuka	I cross	ninavuka
1s+PAST+kuvuka	I crossed	nilivuka
1s+FUT+kuvuka	I will cross	nitavuka
1s+PERF+kuvuka	I have crossed	nimevuka
NEG+1s+PRES+kuvuka	I do not cross	sivuki
NEG+1s+PAST+kuvuka	I did not cross	sikuvuka
NEG+1s+FUT+kuvuka	I will not cross	sitavuka
NEG+1s+PERF+kuvuka	I have not crossed	sijavuka
1p+PRES+kuvuka	we cross	tunavuka
1p+PAST+kuvuka	we crossed	tulivuka
1p+FUT+kuvuka	we will cross	tutavuka
1p+PERF+kuvuka	we have crossed	tumevuka
NEG+1p+PRES+kuvuka	we do not cross	hatuvuki
NEG+1p+PAST+kuvuka	we did not cross	hatukuvuka
NEG+1p+FUT+kuvuka	we will not cross	hatutavuka
NEG+1p+PERF+kuvuka	we have not crossed	hatujavuka
2s+PRES+kuvuka	you cross	unavuka
2s+PAST+kuvuka	you crossed	ulivuka
2s+FUT+kuvuka	you will cross	utavuka
2s+PERF+kuvuka	you have crossed	umevuka
NEG+2s+PRES+kuvuka	you do not cross	huvuki
NEG+2s+PAST+kuvuka	you did not cross	hukuvuka
NEG+2s+FUT+kuvuka	you will not cross	hutavuka
NEG+2s+PERF+kuvuka	you have not crossed	hujavuka
2p+PRES+kuvuka	you cross	mnavuka
2p+PAST+kuvuka	you crossed	mlivuka
2p+FUT+kuvuka	you will cross	mtavuka
2p+PERF+kuvuka	you have crossed	mmevuka
NEG+2p+PRES+kuvuka	you do not cross	hamvuki
NEG+2p+PAST+kuvuka	you did not cross	hamkuvuka
NEG+2p+FUT+kuvuka	you will not cross	hamtavuka
NEG+2p+PERF+kuvuka	you have not crossed	hamjavuka
3s+PRES+kuvuka	(s)he crosses	anavuka
3s+PAST+kuvuka	(s)he crossed	alivuka
3s+FUT+kuvuka	(s)he will cross	atavuka
3s+PERF+kuvuka	(s)he has crossed	amevuka
NEG+3s+PRES+kuvuka	(s)he does not cross	havuki
NEG+3s+PAST+kuvuka	(s)he did not cross	hakuvuka
NEG+3s+FUT+kuvuka	(s)he will not cross	hatavuka
NEG+3s+PERF+kuvuka	(s)he has not crossed	hajavuka
3p+PRES+kuvuka	they cross	wanavuka
3p+PAST+kuvuka	they crossed	walivuka
3p+FUT+kuvuka	they will cross	watavuka
3p+PERF+kuvuka	they have crossed	wamevuka
NEG+3p+PRES+kuvuka	they do not cross	hawavuki
NEG+3p+PAST+kuvuka	they did not cross	hawakuvuka
NEG+3p+FUT+kuvuka	they will not cross	hawatavuka
NEG+3p+PERF+kuvuka	they have not crossed	hawajavuka
2s+IMP+kuvuka	cross	vuka
2p+IMP+kuvuka	cross	vukeni
1s+PRES+kuvunja	I break	ninavunja
1s+PAST+kuvunja	I broke	nilivunja
1s+FUT+kuvunja	I will break	nitavunja
1s+PERF+kuvunja	I have broken	nimevunja
NEG+1s+PRES+kuvunja	I do not break	sivunji
NEG+1s+PAST+kuvunja	I did not break	sikuvunja
NEG+1s+FUT+kuvunja	I will not break	sitavunja
NEG+1s+PERF+kuvunja	I have not broken	sijavunja
1p+PRES+kuvunja	we break	tunavunja
1p+PAST+kuvunja	we broke	tulivunja
1p+FUT+kuvunja	we will break	tutavunja
1p+PERF+kuvunja	we have broken	tumevunja
NEG+1p+PRES+kuvunja	we do not break	hatuvunji
NEG+1p+PAST+kuvunja	we did not break	hatukuvunja
NEG+1p+FUT+kuvunja	we will not break	hatutavunja
NEG+1p+PERF+kuvunja	we have not broken	hatujavunja
2s+PRES+kuvunja	you break	unavunja
2s+PAST+kuvunja	you broke	ulivunja
2s+FUT+kuvunja	you will break	utavunja
2s+PERF+kuvunja	you have broken	umevunja
NEG+2s+PRES+kuvunja	you do not break	huvunji
NEG+2s+PAST+kuvunja	you did not break	hukuvunja
NEG+2s+FUT+kuvunja	you will not break	hutavunja
NEG+2s+PERF+kuvunja	you have not broken	hujavunja
2p+PRES+kuvunja	you break	mnavunja
2p+PAST+kuvunja	you broke	mlivunja
2p+FUT+kuvunja	you will break	mtavunja
2p+PERF+kuvunja	you have broken	mmevunja
NEG+2p+PRES+kuvunja	you do not break	hamvunji
NEG+2p+PAST+kuvunja	you did not break	hamkuvunja
NEG+2p+FUT+kuvunja	you will not break	hamtavunja
NEG+2p+PERF+kuvunja	you have not broken	hamjavunja
3s+PRES+kuvunja	(s)he breaks	anavunja
3s+PAST+kuvunja	(s)he broke	alivunja
3s+FUT+kuvunja	(s)he will break	atavunja
3s+PERF+kuvunja	(s)he has broken	amevunja
NEG+3s+PRES+kuvunja	(s)he does not break	havunji
NEG+3s+PAST+kuvunja	(s)he did not break	hakuvunja
NEG+3s+FUT+kuvunja	(s)he will not break	hatavunja
NEG+3s+PERF+kuvunja	(s)he has not broken	hajavunja
3p+PRES+kuvunja	they break	wanavunja
3p+PAST+kuvunja	they broke	walivunja
3p+FUT+kuvunja	they will break	watavunja
3p+PERF+kuvunja	they have broken	wamevunja
NEG+3p+PRES+kuvunja	they do not break	hawavunji
NEG+3p+PAST+kuvunja	they did not break	hawakuvunja
NEG+3p+FUT+kuvunja	they will not break	hawatavunja
